Date,No,Description,Debit,Credit
"6/23/2017","","DEVELOPMENT DIME DIRECT DEP 621042022446MU9","","1793.4900"
"6/23/2017","","18106 POS PUR 06/22 12:37 TILTED KILT PITTSBURGH PA LK424098 018106 ~5812","-81.0000",""
"6/23/2017","","18419 POS PUR 06/22 21:04 SHEETZ 00 BETHEL PARK PA 006 018419 ~5542","-43.6800",""
"6/23/2017","","0029 POS PUR 06/22 09:00 JERSEY MIKE'S 80 BRIDGEVILLE PA 00005517 0000~5814","-10.9200",""
"6/23/2017","","82793 POS PUR 06/22 21:03 KINDLE-HARVARDBU 866-216-1072 WA 00000000 082~5735","-5.9900",""
"6/23/2017","","12444 POS PUR 06/23 07:25 APL* ITUNES.COM/ 866-712-7753 CA 00000000 012~5735","-5.3400",""
"6/22/2017","","29792 POS PUR 06/22 21:22 COMCAST THREE CS 800-266-2278 PA 00000000 029~4899","-75.0000",""
"6/22/2017","","89037 POS PUR 06/20 18:34 7-ELEVEN 36158 WEST MIFFLIN PA 08 089037 ~5541","-8.5500",""
6/22/2017,,29792 POS PUR 06/22 21:22 COMCAST THREE CS 800-266-2278 PA 00000000 029~4899,-75,
6/22/2017,,89037 POS PUR 06/20 18:34 7-ELEVEN 36158 WEST MIFFLIN PA 08 089037 ~5541,-8.55,
6/21/2017,,DISCOVER E-PAYMENT 9459,-51,
